date,station,lat,lon,sst,anom,err,sst_roll_7d,sst_roll_14d,sst_roll_30d,sst_roll_90d,anom_roll_7d,anom_roll_14d,anom_roll_30d,sst_roc_3d,warm_degree_days_14d,above_avg
2024-01-16,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.25,0.019999999552965164,0.1599999964237213,12.41428552355085,12.92642845426287,13.292333030700684,13.815221913655598,0.14571428378777845,0.615714273681598,0.8813333115850885,-0.026666641235351562,8.72999982535839,1
2024-01-17,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.059999465942383,-0.17000000178813934,0.1599999964237213,12.308571270533971,12.810714176722936,13.242333030700683,13.770333014594184,0.049999997818044255,0.5114285619929433,0.8433333125586311,-0.03333346048990885,7.4399998635053635,0
2024-01-18,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.079999923706055,-0.14999999105930328,0.1599999964237213,12.23142841884068,12.697142737252372,13.19399970372518,13.727555243174235,-0.01857142709195614,0.40857142249920536,0.806666646587352,-0.053333282470703125,6.149999901652336,0
2024-01-19,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.309999465942383,0.08999999612569809,0.17999999225139618,12.204285485403878,12.602856976645333,13.14933303197225,13.688110796610514,-0.037142856046557426,0.32428570929914713,0.7736666490013401,0.01999982198079427,4.9699999168515205,1
2024-01-20,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.550000190734863,0.3400000035762787,0.1899999976158142,12.235714094979423,12.528571265084404,13.113999716440837,13.652110799153645,0.002857144655925887,0.25999999458768536,0.749666651027898,0.1633335749308268,4.069999910891056,1
2024-01-21,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.4399995803833,0.22999998927116394,0.17999999225139618,12.27571405683245,12.461428369794573,13.075666364034017,13.61533301671346,0.04999999941459724,0.20214285368898086,0.722333318926394,0.11999988555908203,3.2599999383091927,1
2024-01-22,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.380000114440918,0.17000000178813934,0.1599999964237213,12.295714105878558,12.405714103153773,13.03666639328003,13.580555248260499,0.07571428535240037,0.15499999786594085,0.6939999862884482,0.02333354949951172,2.5999999567866325,1
2024-01-23,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.380000114440918,0.17999999225139618,0.1599999964237213,12.314285550798688,12.36428553717477,13.001333077748617,13.550999694400364,0.09857142716646194,0.1221428554771202,0.6693333207940062,-0.05666669209798177,2.1399999633431435,1
2024-01-24,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.670000076293945,0.4699999988079071,0.17999999225139618,12.401428495134626,12.354999882834298,12.981333096822103,13.528888585832384,0.18999999868018286,0.11999999824911356,0.6596666544054945,0.07666683197021484,2.1099999621510506,1
2024-01-25,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.739999771118164,0.5399999618530273,0.1599999964237213,12.49571418762207,12.363571303231376,12.963999780019124,13.510221915774876,0.2885714205248015,0.13499999671642268,0.651999987103045,0.11999988555908203,2.3199999406933784,1
2024-01-26,Tomales Bay Mid-Channel Buoy,37.875,237.125,12.819999694824219,0.6299999952316284,0.17000000178813934,12.568571363176618,12.386428424290248,12.942333126068116,13.494777467515734,0.3657142775399344,0.1642857107466885,0.6399999886130293,0.1466665267944336,2.7299999371170998,1
2024-01-27,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.130000114440918,0.949999988079071,0.17000000178813934,12.651428495134626,12.443571295057025,12.920999813079835,13.483221912384034,0.45285713246890474,0.22785713856241532,0.6283333231384556,0.15333334604899088,3.6199999265372753,1
2024-01-28,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.239999771118164,1.0699999332427979,0.1599999964237213,12.765714236668178,12.520714146750313,12.89666649500529,13.47399969100952,0.5728571244648525,0.31142856193972485,0.6136666545644403,0.16666666666666666,4.689999859780073,1
2024-01-29,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.369999885559082,1.1999999284744263,0.1599999964237213,12.907142775399345,12.601428440638951,12.88066651026408,13.466777473025852,0.719999971134322,0.3978571282433612,0.6066666532928745,0.1833333969116211,5.889999788254499,1
2024-01-30,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.469999313354492,1.2999999523162842,0.1599999964237213,13.062856946672712,12.6885712487357,12.86966651280721,13.4595552444458,0.879999965429306,0.489285696297884,0.6043333182111382,0.11333306630452473,7.1699997410178185,1
2024-01-31,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.489999771118164,1.3299999237060547,0.17999999225139618,13.17999976021903,12.790714127676827,12.859999847412109,13.451888582441542,1.0028570975576128,0.5964285481188979,0.6029999821757277,0.08333333333333333,8.499999664723873,1
2024-02-01,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.359999656677246,1.1999999284744263,0.1599999964237213,13.268571172441755,12.882142680031913,12.848666508992514,13.440666357676188,1.0971428070749556,0.6928571137998786,0.5999999810631077,-0.003333409627278646,9.6999995931983,1
2024-02-02,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.34000015258789,1.1899999380111694,0.1599999964237213,13.342856952122279,12.95571415764945,12.83733320236206,13.427999697791206,1.1771427989006042,0.7714285382202694,0.5966666469350457,-0.04333305358886719,10.79999953508377,1
2024-02-03,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.319999694824219,1.159999966621399,0.1599999964237213,13.369999749319893,13.01071412222726,12.825666522979736,13.411999702453613,1.2071427958352225,0.8299999641520637,0.5923333137606581,-0.05666669209798177,11.619999498128891,1
2024-02-04,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.460000038146973,1.309999942779541,0.17999999225139618,13.401428358895439,13.083571297781807,12.819999853769938,13.39833304087321,1.2414285114833288,0.9071428179740906,0.5936666458224257,0.03333346048990885,12.699999451637268,1
2024-02-05,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.549999237060547,1.409999966621399,0.1599999964237213,13.427142551967076,13.16714266368321,12.818666489919027,13.388110817803277,1.2714285169328963,0.9957142440336091,0.5993333110585809,0.06999969482421875,13.939999416470528,1
2024-02-06,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.50999927520752,1.3700000047683716,0.1599999964237213,13.432856832231794,13.247856889452253,12.822999795277914,13.378333038753933,1.2814285244260515,1.0807142449276788,0.6103333124890924,0.06333319346110027,15.129999428987503,1
2024-02-07,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.469999313354492,1.3299999237060547,0.1599999964237213,13.42999962397984,13.304999692099434,12.833333110809326,13.368999703725178,1.2814285244260515,1.1421428109918321,0.6269999771689375,0.0033330917358398438,15.98999935388565,1
2024-02-08,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.309999465942383,1.1799999475479126,0.1599999964237213,13.422856739589147,13.34571395601545,12.844999758402507,13.358666367001003,1.2785713842936925,1.187857095684324,0.6449999758973718,-0.07999992370605469,16.629999339580536,1
2024-02-09,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.210000038146973,1.0799999237060547,0.1599999964237213,13.404285294669014,13.373571123395648,12.858666451772054,13.347333039177789,1.262857096535819,1.2199999477182115,0.6643333066875736,-0.09999974568684895,17.079999268054962,1
2024-02-10,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.269999504089355,1.1399999856948853,0.1599999964237213,13.39714241027832,13.383571079799108,12.880333105723063,13.337777476840548,1.2599999564034599,1.2335713761193412,0.6913333067670464,-0.0666666030883789,17.269999265670776,1
2024-02-11,Tomales Bay Mid-Channel Buoy,37.875,237.125,13.219999313354492,1.100000023841858,0.1599999964237213,13.362856592450823,13.382142475673131,12.90433308283488,13.329777473873563,1.2299999679837907,1.2357142397335596,0.7206666409348448,-0.030000050862630207,17.299999356269836,1
