week_start,station,sample_date,latitude,longitude,month,year,pda,temp,silicate,nitrate,avg_chloro,potential_bloom,sst_roll_14d,anom_roll_14d,sst_roc_3d,warm_degree_days_14d,above_avg,temp_lag1,temp_lag2,silicate_lag1,silicate_lag2,nitrate_lag1,nitrate_lag2,avg_chloro_lag1,avg_chloro_lag2,silicate_nitrate_ratio,isHarmful,station_id,wind_speed_mps,wave_height_m,dominant_period_s,mean_wave_dir_deg,atm_pressure_hpa,air_temp_c,sea_surface_temp_c
2026-02-23,Scripps Pier,2026-02-23 20:25:00,32.867,-117.257,2,2026,0.0,16.6,,,1.24,0,16.46428530556815,1.476428551333291,0.2833334604899089,0.0,0.0,16.7,17.5,,,,,0.61,0.52,,0,46086,,,,,,,
2026-02-23,Stearns Wharf,2026-02-23 15:59:00,34.408043,-119.68485,2,2026,0.0,14.1,,,,0,15.245713983263288,1.3064285474164146,0.22666645050048828,0.0,0.0,16.6,16.3,,,,,,,,0,46053,,,,,,,
2026-03-02,Bodega Marine Lab,2026-03-02 22:15:00,38.31613,-123.0705,3,2026,,15.0,,,,,13.29357113157,1.445714260850634,-0.25666650136311847,4.576221095191109,0.0,13.4,13.7,,,,,,,,,46013,,,,,,,
2026-03-02,Cal Poly Pier,2026-03-08 17:57:00,35.170204,-120.740685,3,2026,0.035,12.4,,,2.15,0,13.986428397042411,0.7135713951928275,0.023333231608072918,0.0,0.0,15.2,14.45,,,,,1.64,1.1949999999999998,,0,46011,,,,,,,
2026-03-02,Monterey Wharf,2026-03-05 16:38:00,36.603683,-121.889275,3,2026,,14.2,,,,,14.12285682133266,1.6864285213606698,0.009999910990397135,0.6166664759318028,0.0,13.9,13.5,,,,,,,,,46042,,,,,,,
2026-03-02,Newport Beach Pier,2026-03-03 18:30:00,33.6061,-117.9311,3,2026,0.17,15.0,,,6.27,1,15.966428211757115,1.2485713958740234,-0.14999993642171225,0.0,0.0,15.0,16.0,,,,,3.96,3.29,,1,46025,,,,,,,
2026-03-02,Santa Cruz Wharf,2026-03-04 16:30:00,36.958,-122.017,3,2026,0.011836,14.3,,,2.38,0,14.150713920593262,1.812857108456748,0.04333337148030599,1.2231103261311844,0.0,14.1,13.3,,,,,3.97,1.45,,0,46042,,,,,,,
2026-03-02,Santa Monica Pier,2026-03-02 20:30:00,34.008,-118.499,3,2026,0.038,17.9,,,,0,,,,,0.0,17.8,16.2,,,,,,,,0,46025,,,,,,,
2026-03-02,Scripps Pier,2026-03-02 20:07:00,32.867,-117.257,3,2026,0.178,16.7,,,2.02,1,16.507856641496932,1.4878571118627275,-0.09000015258789062,0.0,0.0,16.6,16.7,,,,,1.24,0.61,,1,46086,,,,,,,
2026-03-02,Stearns Wharf,2026-03-02 15:58:00,34.408043,-119.68485,3,2026,0.0,16.1,,,,0,15.120713983263288,1.2057142683437891,0.09666697184244792,0.0,0.0,14.1,16.6,,,,,,,,0,46053,,,,,,,
2026-03-09,Bodega Marine Lab,2026-03-09 20:31:00,38.31613,-123.0705,3,2026,,12.0,,,,,12.335713999611992,0.5157142743202192,-0.10666688283284505,2.6068889511956126,0.0,15.0,13.4,,,,,,,,,46013,,,,,,,
2026-03-09,Cal Poly Pier,2026-03-15 17:10:00,35.170204,-120.740685,3,2026,0.042,13.4,,,0.48,0,13.142142568315778,-0.10214285712156977,-0.04666678110758463,0.0,0.0,12.4,15.2,,,,,2.15,1.64,,0,46011,,,,,,,
2026-03-09,Monterey Wharf,2026-03-10 15:48:00,36.603683,-121.889275,3,2026,,13.0,,,,,13.577856813158308,1.170714265533856,-0.10999997456868489,0.1394449975755485,0.0,14.2,13.9,,,,,,,,,46042,,,,,,,
2026-03-09,Newport Beach Pier,2026-03-10 17:30:00,33.6061,-117.9311,3,2026,0.0,15.0,,,2.14,0,16.012142521994456,1.2671428322792053,0.11666679382324219,0.0,0.0,15.0,15.0,,,,,6.27,3.96,,0,46025,,,,,,,
2026-03-09,Santa Cruz Wharf,2026-03-11 15:30:00,36.958,-122.017,3,2026,0.68544,13.9,,,4.53,1,13.778571060725621,1.4728571133954185,-0.1766668955485026,0.46633302900526274,0.0,14.3,14.1,,,,,2.38,3.97,,1,46042,,,,,,,
2026-03-09,Santa Monica Pier,2026-03-09 21:00:00,34.008,-118.499,3,2026,0.079,17.8,,,,0,,,,,0.0,17.9,17.8,,,,,,,,0,46025,,,,,,,
2026-03-09,Scripps Pier,2026-03-09 19:15:00,32.867,-117.257,3,2026,0.035,16.4,,,1.33,0,16.607142448425293,1.554285662514823,0.10333315531412761,0.14944449530707615,1.0,16.7,16.6,,,,,2.02,1.24,,0,46086,,,,,,,
2026-03-09,Stearns Wharf,2026-03-09 14:59:00,34.408043,-119.68485,3,2026,,15.1,,,,,15.15285689490182,1.2614285520144872,0.1600001653035482,0.0,0.0,16.1,14.1,,,,,,,,,46053,,,,,,,
2026-03-16,Bodega Marine Lab,2026-03-16 21:05:00,38.31613,-123.0705,3,2026,,11.7,,,,,11.456428323473249,-0.3328571374128972,-0.09666665395100911,0.0,0.0,12.0,15.0,,,,,,,,,46013,,,,,,,
2026-03-16,Monterey Wharf,2026-03-17 16:33:00,36.603683,-121.889275,3,2026,,13.1,,,,,13.48642819268363,1.1099999738591058,-0.04666678110758463,0.003999922010633483,0.0,13.0,14.2,,,,,,,,,46042,,,,,,,
2026-03-16,Newport Beach Pier,2026-03-17 17:30:00,33.6061,-117.9311,3,2026,0.0,17.5,,,0.21,0,16.845714024135045,2.068571388721466,-0.08666674296061198,7.375002468956843,1.0,15.0,15.0,,,,,2.14,6.27,,0,46025,,,,,,,
2026-03-16,Santa Cruz Wharf,2026-03-18 16:00:00,36.958,-122.017,3,2026,1.066425,14.0,,,5.48,1,13.542856829507011,1.2714285339627946,-0.03333346048990885,0.0,0.0,13.9,14.3,,,,,4.53,2.38,,1,46042,,,,,,,
2026-03-16,Santa Monica Pier,2026-03-16 21:00:00,34.008,-118.499,3,2026,0.0,18.0,,,,0,,,,,0.0,17.8,17.9,,,,,,,,0,46025,,,,,,,
2026-03-16,Scripps Pier,2026-03-16 19:05:00,32.867,-117.257,3,2026,0.0,17.7,,,0.84,0,17.55499976021903,2.4607142210006714,0.1466668446858724,10.566556209988068,1.0,16.4,16.7,,,,,1.33,2.02,,0,46086,,,,,,,
